Znak (EN)	Wystπpienia		Znak (IT)	Wystπpienia		Znak (PL)	Wystπpienia		Liczba (1-1000)	Wystπpienia
b	44161		h	1727		p	3716		62	975
c	53371		i	16229		r	5773		63	1006
d	149312		k	17		s	6560		64	1029
e	409522		l	9161		t	5575		65	1009
f	81157		m	3643		u	2946		66	1001
g	49095		n	8897		w	6630		67	1089
h	279470		o	14097		y	5824		68	1075
i	180659		p	3835		z	9861		69	1011
j	2515		q	779					70	1036
k	21745		r	9451					71	1010
l	120716		s	7750					72	975
m	76884		t	8112					73	945
n	223164		u	4527					74	957
o	234289		v	2562					75	957
p	41377		z	665					76	1055
q	958								77	923
r	162759								78	1015
s	185123								79	1028
t	309981								80	1006
u	83140								81	1069
v	30258								82	1056
w	63079								83	1048
x	1476								84	1014
y	58007								85	995
z	2068								86	1001
									87	996
									88	1038
									89	1037
									90	975
									91	1027
									92	1035
									93	1028
									94	981
									95	1016
									96	966
									97	989
									98	1054
									99	1025
									100	998
									101	1017
									102	1018
									103	1027
									104	999
									105	1027
									106	966
									107	1038
									108	1023
									109	1037
									110	996
									111	1018
									112	1005
									113	989
									114	1038
									115	996
									116	996
									117	1039
									118	1038
									119	1020
									120	1022
									121	1016
									122	1007
									123	978
									124	1030
									125	1025
									126	981
									127	1032
									128	1024
									129	1026
									130	1015
									131	1029
									132	959
									133	995
									134	958
									135	1011
									136	1070
									137	995
									138	980
									139	1068
									140	998
									141	958
									142	1032
									143	997
									144	1021
									145	998
									146	1016
									147	945
									148	1089
									149	1042
									150	1002
									151	935
									152	1058
									153	952
									154	1008
									155	1028
									156	1023
									157	976
									158	1028
									159	1064
									160	1031
									161	966
									162	969
									163	955
									164	1014
									165	1028
									166	1082
									167	961
									168	979
									169	1046
									170	975
									171	979
									172	974
									173	1025
									174	959
									175	1031
									176	1029
									177	947
									178	994
									179	1069
									180	1029
									181	1048
									182	1019
									183	980
									184	971
									185	974
									186	991
									187	1044
									188	1001
									189	1059
									190	1015
									191	1036
									192	995
									193	1009
									194	1028
									195	1026
									196	985
									197	992
									198	1017
									199	1008
									200	1027
									201	1025
									202	1048
									203	1060
									204	968
									205	1043
									206	1032
									207	999
									208	986
									209	1028
									210	989
									211	1023
									212	1000
									213	1037
									214	1052
									215	984
									216	1047
									217	985
									218	969
									219	954
									220	996
									221	1022
									222	991
									223	995
									224	956
									225	997
									226	1048
									227	1010
									228	1021
									229	1092
									230	1052
									231	1022
									232	995
									233	1013
									234	965
									235	1032
									236	952
									237	958
									238	978
									239	995
									240	1013
									241	987
									242	996
									243	1027
									244	1007
									245	986
									246	1020
									247	998
									248	949
									249	976
									250	993
									251	980
									252	1021
									253	1027
									254	986
									255	991
									256	1011
									257	957
									258	1014
									259	1063
									260	984
									261	997
									262	1079
									263	950
									264	1021
									265	1033
									266	1041
									267	1064
									268	1041
									269	1016
									270	1031
									271	1057
									272	1025
									273	1056
									274	950
									275	998
									276	1033
									277	1036
									278	1016
									279	994
									280	1048
									281	1018
									282	951
									283	984
									284	960
									285	971
									286	1066
									287	993
									288	985
									289	1009
									290	1001
									291	948
									292	955
									293	961
									294	957
									295	971
									296	1035
									297	1066
									298	983
									299	1032
									300	1020
									301	1000
									302	994
									303	1006
									304	1018
									305	1026
									306	1009
									307	1023
									308	1002
									309	1041
									310	1018
									311	986
									312	1047
									313	1006
									314	953
									315	1021
									316	999
									317	1032
									318	1061
									319	1017
									320	995
									321	997
									322	993
									323	1057
									324	1024
									325	1004
									326	932
									327	1014
									328	963
									329	998
									330	1030
									331	1017
									332	1009
									333	1008
									334	1026
									335	1038
									336	944
									337	1001
									338	1038
									339	969
									340	960
									341	1015
									342	961
									343	1018
									344	1017
									345	999
									346	978
									347	931
									348	983
									349	1030
									350	1025
									351	975
									352	999
									353	1004
									354	1036
									355	1016
									356	973
									357	999
									358	1021
									359	1005
									360	1003
									361	1031
									362	1005
									363	984
									364	986
									365	1012
									366	983
									367	1017
									368	983
									369	1070
									370	1001
									371	993
									372	1044
									373	985
									374	1031
									375	1036
									376	1003
									377	968
									378	1037
									379	993
									380	1011
									381	963
									382	992
									383	1058
									384	1001
									385	986
									386	1040
									387	991
									388	1024
									389	1040
									390	1102
									391	986
									392	996
									393	985
									394	946
									395	991
									396	942
									397	1006
									398	1031
									399	946
									400	1002
									401	993
									402	946
									403	974
									404	1026
									405	986
									406	1021
									407	966
									408	1001
									409	1065
									410	1015
									411	1000
									412	989
									413	1007
									414	1028
									415	997
									416	984
									417	1019
									418	1029
									419	1014
									420	1069
									421	1076
									422	1044
									423	927
									424	976
									425	1002
									426	1014
									427	1015
									428	979
									429	1009
									430	1046
									431	980
									432	1045
									433	1040
									434	979
									435	1044
									436	1003
									437	1002
									438	1029
									439	1083
									440	980
									441	1016
									442	1001
									443	973
									444	1023
									445	985
									446	992
									447	1058
									448	1029
									449	928
									450	1042
									451	1002
									452	1086
									453	1043
									454	985
									455	994
									456	1056
									457	997
									458	1052
									459	984
									460	988
									461	1000
									462	983
									463	978
									464	1008
									465	1009
									466	1002
									467	1006
									468	1025
									469	1012
									470	949
									471	987
									472	1021
									473	1009
									474	1009
									475	967
									476	999
									477	975
									478	1032
									479	1028
									480	1011
									481	996
									482	1047
									483	947
									484	1073
									485	965
									486	1005
									487	976
									488	935
									489	1041
									490	1004
									491	968
									492	1001
									493	969
									494	1036
									495	1040
									496	985
									497	1011
									498	1002
									499	1008
									500	945
									501	991
									502	1045
									503	983
									504	1020
									505	981
									506	995
									507	1000
									508	1072
									509	938
									510	993
									511	1034
									512	1044
									513	1000
									514	1014
									515	1047
									516	1029
									517	982
									518	1073
									519	1039
									520	1005
									521	996
									522	1026
									523	1013
									524	1053
									525	1031
									526	967
									527	1033
									528	1011
									529	994
									530	1048
									531	987
									532	1010
									533	942
									534	979
									535	1015
									536	1017
									537	1006
									538	977
									539	950
									540	979
									541	986
									542	1009
									543	1085
									544	1023
									545	1025
									546	1019
									547	1036
									548	993
									549	1043
									550	994
									551	1006
									552	1008
									553	1030
									554	1010
									555	977
									556	971
									557	975
									558	1082
									559	987
									560	969
									561	995
									562	1023
									563	1034
									564	1026
									565	944
									566	976
									567	996
									568	1017
									569	1014
									570	970
									571	1018
									572	1007
									573	1040
									574	1007
									575	1001
									576	1034
									577	992
									578	1051
									579	1054
									580	1041
									581	1018
									582	1030
									583	940
									584	1020
									585	1071
									586	947
									587	942
									588	1066
									589	992
									590	996
									591	1046
									592	1014
									593	988
									594	986
									595	992
									596	1013
									597	965
									598	983
									599	1034
									600	973
									601	972
									602	1036
									603	976
									604	1032
									605	958
									606	1023
									607	985
									608	961
									609	1016
									610	984
									611	1071
									612	1019
									613	1022
									614	950
									615	994
									616	1028
									617	992
									618	1043
									619	985
									620	1017
									621	1051
									622	962
									623	1044
									624	1006
									625	1010
									626	1049
									627	995
									628	1031
									629	1003
									630	1002
									631	995
									632	1055
									633	1058
									634	988
									635	978
									636	938
									637	1013
									638	1025
									639	1055
									640	976
									641	996
									642	1000
									643	1002
									644	950
									645	1012
									646	1027
									647	987
									648	985
									649	1010
									650	1028
									651	1028
									652	1006
									653	1039
									654	968
									655	996
									656	1028
									657	1044
									658	1025
									659	1038
									660	965
									661	1023
									662	964
									663	964
									664	994
									665	995
									666	985
									667	1004
									668	952
									669	1018
									670	994
									671	967
									672	975
									673	948
									674	1046
									675	1023
									676	994
									677	989
									678	995
									679	1038
									680	986
									681	1019
									682	998
									683	1028
									684	1026
									685	1061
									686	1039
									687	1029
									688	1042
									689	1010
									690	991
									691	979
									692	994
									693	1062
									694	974
									695	951
									696	974
									697	1015
									698	1020
									699	1001
									700	991
									701	1028
									702	1014
									703	1003
									704	965
									705	1024
									706	1020
									707	1020
									708	1006
									709	992
									710	965
									711	1051
									712	1050
									713	952
									714	995
									715	1061
									716	934
									717	1008
									718	967
									719	979
									720	1079
									721	906
									722	989
									723	1018
									724	1039
									725	1039
									726	979
									727	1016
									728	976
									729	1000
									730	979
									731	1008
									732	1059
									733	1024
									734	944
									735	981
									736	1035
									737	997
									738	1056
									739	1037
									740	994
									741	1005
									742	1042
									743	1018
									744	1006
									745	1004
									746	1039
									747	984
									748	1014
									749	1011
									750	973
									751	1020
									752	1045
									753	1016
									754	1050
									755	1018
									756	1015
									757	1041
									758	1013
									759	1017
									760	991
									761	1063
									762	1007
									763	923
									764	1067
									765	1017
									766	1016
									767	1037
									768	981
									769	978
									770	1000
									771	985
									772	1014
									773	949
									774	938
									775	996
									776	1001
									777	996
									778	965
									779	943
									780	973
									781	978
									782	958
									783	1010
									784	915
									785	1015
									786	1004
									787	927
									788	992
									789	1000
									790	1001
									791	1002
									792	986
									793	915
									794	1009
									795	943
									796	966
									797	990
									798	928
									799	981
									800	957
									801	1001
									802	956
									803	956
									804	982
									805	985
									806	985
									807	1003
									808	923
									809	990
									810	974
									811	939
									812	1034
									813	973
									814	1014
									815	972
									816	1033
									817	940
									818	1072
									819	989
									820	1021
									821	981
									822	984
									823	946
									824	939
									825	960
									826	993
									827	976
									828	981
									829	962
									830	1010
									831	990
									832	1053
									833	1001
									834	967
									835	1039
									836	946
									837	988
									838	912
									839	947
									840	979
									841	1009
									842	1030
									843	979
									844	929
									845	990
									846	946
									847	985
									848	987
									849	993
									850	971
									851	939
									852	928
									853	1004
									854	978
									855	1043
									856	1011
									857	955
									858	917
									859	1011
									860	968
									861	953
									862	965
									863	989
									864	944
									865	929
									866	974
									867	978
									868	1039
									869	951
									870	965
									871	1000
									872	967
									873	972
									874	1038
									875	1006
									876	921
									877	964
									878	1013
									879	968
									880	984
									881	1035
									882	968
									883	953
									884	1026
									885	973
									886	1030
									887	994
									888	1020
									889	950
									890	934
									891	960
									892	989
									893	1023
									894	993
									895	964
									896	1006
									897	977
									898	953
									899	984
									900	1007
									901	948
									902	941
									903	948
									904	976
									905	986
									906	996
									907	1013
									908	1006
									909	977
									910	984
									911	945
									912	939
									913	981
									914	975
									915	995
									916	958
									917	981
									918	980
									919	944
									920	984
									921	1001
									922	958
									923	920
									924	1004
									925	955
									926	981
									927	955
									928	941
									929	990
									930	953
									931	995
									932	1020
									933	986
									934	994
									935	941
									936	983
									937	928
									938	1000
									939	984
									940	975
									941	927
									942	978
									943	963
									944	982
									945	1012
									946	998
									947	947
									948	920
									949	929
									950	937
									951	979
									952	962
									953	962
									954	963
									955	974
									956	991
									957	972
									958	994
									959	959
									960	916
									961	956
									962	997
									963	972
									964	925
									965	977
									966	956
									967	967
									968	1019
									969	963
									970	958
									971	996
									972	962
									973	940
									974	957
									975	981
									976	982
									977	1015
									978	961
									979	964
									980	926
									981	990
									982	943
									983	981
									984	1006
									985	1011
									986	1004
									987	973
									988	919
									989	991
									990	1018
									991	951
									992	984
									993	1037
									994	939
									995	970
									996	952
									997	941
									998	1020
									999	988
									1000	939
